id,category,slokamrtam_reference,sloka_title,sloka_text,scripture_reference,word_by_word_meaning,translation
202, Gaura-tattva,4.23,"At the time of Krishna's name giving ceremony, Sri Gargacarya said :","āsan varṇās trayo hy asya / gṛhṇato 'nuyugaṁ tanuḥ
 śuklo raktas tathā pīta / idānīṁ kṛṣṇatāṁ gataḥ",SB 10.8.13,āsan—were assumed; varṇāḥ trayaḥ—three colors; hi—indeed; asya—of your son Kṛṣṇa; gṛhṇataḥ—accepting; anuyugam tanūḥ—transcendental bodies according to the different yugas; śuklaḥ—sometimes white; raktaḥ—sometimes red; tathā—as well as; pītaḥ—sometimes yellow; idānīm kṛṣṇatām gataḥ—at the present moment He has assumed a blackish colour.,"Your son Kṛṣṇa appears in every yuga as an avatāra. Previously He assumed three different colors – white, red and yellow – and now He has appeared in a blackish color."
203, Gaura-tattva,4.24,,"suvarṇa-varṇo hemāṅgo / varāṅgaś candanāṅgadī
 sannyāsa-kṛc chamaḥ śānto / niṣṭhā-śānti-parāyaṇaḥ",Mahābhārata,suvarṇa—of gold; varṇaḥ—having the color; hema-aṅgaḥ—whose body was like molten gold; vara-aṅgaḥ—having a most beautiful body; candana-aṅgadī—whose body was smeared with sandalwood; sannyāsa-kṛt—practicing the renounced order of life; śamaḥ—equipoised; śāntaḥ—peaceful; niṣṭhā—fixed (in His mission of nāma-saṅkīrtana); śānti—and of peace; parāyaṇaḥ—the highest resort.,"[Bhīṣma said to Yudhiṣṭhira Mahārāja:] Kṛṣṇa first appears as a gṛhastha with a golden complexion. His limbs are the color of molten gold, His body is extremely beautiful, He is decorated with sandalwood pulp and He continuously chants ""Kṛṣṇa"". Then He accepts sannyāsa and is always equipoised. He is firmly fixed (in His mission of propagating harināma-saṅkīrtana) and He defeats the impersonalist philosophers, who are opposed to bhakti. He is thus the highest abode of peace and devotion."
204, Gaura-tattva,4.25,,"yadā yadā hi dharmasya / glānir bhavati bhārata
 abhyutthānam adharmasya / tadātmānaṁ sṛjāmy aham",BG 4.7,yadā yadā—whenever and wherever; hi—certainly; dharmasya—of religion; glāniḥ—discrepancies; bhavati—become manifested; bhārata—O descendant of Bharata; abhyutthānam—predominance; adharmasya—of irreligion; tadā—at that time; ātmānam—self; sṛjāmi—manifest; aham—I.,"Whenever and wherever there is a decline in religious practice, O descendant of Bharata, and a predominant rise of irreligion—at that time I descend Myself."
205, Gaura-tattva,4.26,,"paritrāṇāya sādhūnāṁ / vināśāya ca duṣkṛtām
 dharma-saṁsthāpanārthāya / sambhavāmi yuge yuge",BG 4.8,paritrāṇāya—for the deliverance; sādhūnām—of the devotees; vināśāya—for the annihilation; ca—and; duṣkṛtām—of the miscreants; dharma—the eternal essence of one's spiritual nature and service; saṁsthāpana-arthāya—to re-establish; sambhavāmi—I do appear; yuge—millennium; yuge—after millennium.,"To deliver the pious and to annihilate the miscreants, as well as to reestablish the principles of religion, I Myself appear, millennium after millennium."
206, Gaura-tattva,4.27,,māyāpure bhaviṣyāmi śacī-sutaḥ,āgama-śāstras,,"In the future, the son of Śacī will appear in Māyāpura."
207, Gaura-tattva,4.28,"Śrī Kṛṣṇa Caitanya is outwardly Gaura, inwardly Kṛṣṇa","antaḥ kṛṣṇaṁ bahir-gauraṁ
 darśitāṅgādi-vaibhavam
 kalau saṅkīrtanādyaiḥ sma
 kṛṣṇa-caitanyam āśritāḥ",Tattva-sandarbha,"antaḥ—internally; kṛṣṇam—Lord Kṛṣṇa; bahiḥ—externally; gauram—fair-colored; darśita—displayed; aṅga—limbs; ādi—beginning with; vaibhavam—expansions; kalau—in the Age of Kali; saṅkīrtana-ādyaiḥ—by congregational chanting, etc.; sma—certainly; kṛṣṇa-caitanyam—unto Lord Caitanya Mahāprabhu; āśritāḥ—sheltered.","I take shelter of Śrī Kṛṣṇa Caitanya, who is outwardly gaura, of fair complexion, but is inwardly Kṛṣṇa Himself. In Kali-yuga He displays His associates, servitors and confidential companions while performing saṅkīrtana."
208, Gaura-tattva,4.29,,"rādhikāra bhāva-kānti kari' aṅgīkāra
 nija-rasa āsvādite kariyācha avatāra",CC Mad 8.279,rādhikāra—of Śrīmatī Rādhārāṇī; bhāva-kānti—ecstatic love and luster; kari'—making; aṅgīkāra—acceptance; nija-rasa—Your own transcendental mellow; āsvādite—to taste; kariyācha—You have made; avatāra—incarnation.,"""To taste Your own transcendental mellow You appeared as Śrī Caitanya Mahāprabhu, accepting the sentiment and luster of Śrīmatī Rādhikā."""
209, Gaura-tattva,4.3,By Mahāprabhu's mercy one can cross the ocean of many theories,"śrī-caitanya-prabhuṁ vande / bālo 'pi yad-anugrahāt
 taren nānā-mata-grāha-/ vyāptaṁ siddhānta-sāgaram",CC Ādi 2.1,śrī-caitanya-prabhum—to Lord Śrī Caitanya Mahāprabhu; vande—I offer obeisances; bālaḥ—an ignorant child; api—even; yat—of whom; anugrahāt—by the mercy; taret—may cross over; nānā—various; mata—of theories; grāha—the crocodiles; vyāptam—filled with; siddhānta—of conclusions; sāgaram—the ocean.,"I offer my obeisances to Śrī Caitanya Mahāprabhu, by whose mercy even an ignorant child can swim across the ocean of conclusive truths, which is full of the crocodiles of various theories."
210, Gaura-tattva,4.31,Rāgānugā sādhakas should taste Kṛṣṇa līlā through the medium of Gaura līlā,"kṛṣṇa-līlā amṛta-sāra, tāra śata śata dhāra,
 daśa-dike vahe yāhā haite
 se caitanya-līlā haya, sarovara akṣaya,
 mano-haṁsa carāha' tāhāte",CC Mad 25.271,"kṛṣṇa-līlā amṛta-sāra—the pastimes of Lord Kṛṣṇa are the essence of all eternal bliss; tāra śata śata dhāra—the flow of that eternal bliss is running in hundreds of branches; daśa-dike—in all the ten directions; vahe—flows; yāhā haite—from which; se—those; caitanya-līlā—pastimes of Śrī Caitanya Mahāprabhu; haya—are; sarovara akṣaya—a transcendental eternal lake; manaḥ-haṁsa—my mind, which is like a swan; carāha'—please wander; tāhāte—in that lake.","The pastimes of Śrī Kṛṣṇa are the essence of all transcendental nectar. These nectarean pastimes flow in hundreds and hundreds of streams, inundating the ten directions. The pastimes of Śrī Caitanya are an imperishable reservoir of nectar, saturated with the pastimes of Kṛṣṇa. O swanlike mind, please wander on this transcendental lake."
211, Gaura-tattva,4.32,,"nānā-bhāvera bhakta-jana, haṁsa-cakravāka-gaṇa,
 yāte sabe' karena vihāra
 kṛṣṇa-keli sumṛṇāla, yāhā pāi sarva-kāla,
 bhakta-haṁsa karaye āhāra",CC Mad 25.274,"nānā-bhāvera bhakta-jana—devotees relishing relationships with Kṛṣṇa in different ecstasies; haṁsa-cakravāka-gaṇa—compared to swans and cakravāka birds; yāte—in that place; sabe'—all; karena vihāra—enjoy life; kṛṣṇa-keli—the pastimes of Kṛṣṇa; su-mṛṇāla—sweet buds; yāhā pāi—which one can get; sarva-kāla—eternally; bhakta-haṁsa—the devotees, who are just like swans; karaye—do; āhāra—eating.","The devotees who have a relationship with Kṛṣṇa are like the swans and cakravāka birds who play in the lake of lotus flowers. The buds of those lotus flowers are the pastimes of Kṛṣṇa, and they are edibles for the swanlike devotees. Lord Śrī Kṛṣṇa is always engaged in His transcendental pastimes; therefore the devotees, following in the footsteps of Śrī Caitanya Mahāprabhu, can always eat those lotus buds."
212, Gaura-tattva,4.33,,"gaura-prema rasārṇave se taraṇge yebā ḍūbe
 se rādhā-mādhava-antaraṅga",BRSB p. 125,,"Gaura prema is an ocean of rasa. Those who submerge themselves in the waves of that ocean, emerge in the waves of the confidential intimate service of Rādhā-Mādhava in Vraja."
213, Gaura-tattva,4.34,A favourite śloka of Śrīla Bhakti Rakṣaka Śrīdhara Goswāmī Mahārāja,"yathā yathā gaura-padāravinde
 vindeta bhaktiṁ kṛta-puṇya-rāśiḥ
 tathā tathotsarpati hṛdy akasmād
 rādhā-padāmbhoja-sudhāmbu-rāśiḥ",Śrī Caitanya Candrāmṛta 88,kṛta-puṇya-rāśiḥ—having performed vast numbers of pious deeds; yathā yathā—to the extent; vindeta—a person attains; bhaktim—devotion; pada-aravinde—to the lotus feet; gaura—of the golden Lord; tathā tathā—to the same extent; sudhāmbu-rāśiḥ—the ocean of nectar; rādhā-padāmbhoja—of the lotus feet of Śrī Rādhā; akasmād—causelessly; utsarpati—gradually arises; hṛdi—in one's heart.,"As a pious soul fortunately attains pure devotion to Gaura and becomes absorbed in rendering service to His lotus feet, the nectar ocean of devotional ecstasy flowing from the lotus feet of Śrī Rādhikā gradually arises without any material causer and floods his heart."
214, Gaura-tattva,4.35,"Other than Lord Gaura, who will be my friend in this world?","duṣkarma-koṭi-niratasya duranta-ghora-
 durvāsanā-nigaḍa-śṛṅkhalitasya gāḍham
 kliśyan mateḥ kumati-koṭi-kadarthitasya
 gauraṁ vinādya mama ko bhaviteha bandhuḥ",Caitanya Candramṛta 51,duṣkarma—wicked deed; koṭi—millions; niratasya—intent; duranta—endless and impassable; ghora—horrible; durvāsanā—wicked thoughts and desires; nigaḍa-śṛṅkhalitasya—chained; gāḍham—tightly; kliśyat—suffering; mateḥ—of the mind; kumati—of wicked-minded materialists; koṭi—by millions; kadarthitasya—misled; gauraṁ—the sacred place of Gauḍa-maṇḍala; vinā—except for; adya—today; mama—of me; ko—who?; bhavitā—is; iha—here; bandhuḥ—the friend.,"""I have committed millions of sinful activities while wandering the path of karma. I am tightly bound by the shackles of uncontrolable material desires. My intelligence is afflicted by the misguidance of the karmīs, jñānīs, and unrestricted sense enjoyers. Other than Lord Gaura, who will be my friend in this world?"""
215, Gaura-tattva,4.36,The supreme solace of Śrī Caitanya's name,"hā hanta citta-bhuvi me paramoṣarāyāṁ
 sad-bhakti-kalpa-latikāṅkuritā kathaṁ syāt
 hṛdy ekam eva paramāśvasanīyam asti
 caitanya-nāma kalayan na kadāpi śocyaḥ",Caitanya Candrāmṛta 53,"hā—Oh!; hanta—Oh!; citta—of the heart; bhuvi—in the land; me—my; parama—great; uṣarāyāṁ—in the desert; sad—transcendental; bhakti—of devotional service; kalpa—desire; latikā—creeper; aṅkuritā—sprouted; kathaṁ—how?; syāt—will be; hṛdi—in the heart; ekam—one; eva—indeed; param—great; āśvasanīyam—hope; asti—is; caitanya—of Lord Caitanya; nāma—in the name; kalayan—chanting, calling in a melodious vocie; na—not; kadāpi—ever; śocyaḥ—will lament.","Alas, alas! How will the charming wish-fulfilling creeper of pure devotion ever sprout from the desparately barren planes of my consciousness? Despite my predicament, just one great hope awakens in my heart: by chanting the name of Śrī Caitanyadeva, nothing can remain to be lamented for by anyone at any time."
216, Gaura-tattva,4.37,Vijñapti,"saṁsāra-duḥkha-jaladhau patitasya kāma-
 krodhādi-nakra-makaraiḥ kavalī-kṛtasya
 durvāsanā-nigaḍitasya nirāśrayasya
 caitanya-candra mama dehi padāvalambam",Caitanya Candramṛta 54,saṁsāra—of repeated birth and death; duḥkha—of the sufferings; jaladhau—in the ocean; patitasya—fallen; kāma—lust; krodha—and anger; ādi—beginning; nakra—crocodiles; makaraiḥ—and sharks; kavalī—a mouthful; kṛtasya—being made; durvāsanā—by wicked desires; nigaḍitasya—chained; nirāśrayasya—without any shelter; caitanya-candra—of the moon-like Śrī Caitanya; mama—to me; dehi—please give; padā—of Your feet; avalambam—the shelter.,"O Caitanyacandra, I have fallen into an ocean of misery where I have been made a mouthful for the crocodiles and sharks of lust, anger, and so forth. Kindly give this destitute person, chained to wicked desires, the shelter of Your lotus feet."
217, Gaura-tattva,4.38,O Caitanya-candra make this unfortunate person drink the nectar emanating from Your feet.,"caitanyacandra mama hṛt-kumudaṁ vikāśya
 hṛdyaṁ vidhehi nija-cintana-bhṛṅga-raṅgaiḥ
 kiṁ cāparādha-timiraṁ niviḍaṁ vidhūya
 pādāmṛtaṁ sadaya pāyaya durgataṁ me",Śrī Stavāvalī,caitanyacandra—O moon of Lord Caitanya; mama—of me; hṛt—of the heart; kumudam—the lotus; vikāśya—causing to blossom; hṛdyam—charming; vidhehi—please place; nija—own; cintana—thoughts; bhṛṅga—of the bumblebee; raṅgaiḥ—with the delight; kimca—furthermore; aparādha—of offenses; timiram—the darkness; niviḍam—thick; vidhūya—cleansing away; pāda—of the feet; amṛtam—the nectar; sa—with; dayā—kindness; pāyaya—please cause to drink; durgatam—impious; me—me.,"O Caitanya-candra, Please make the charming lotus flower of my heart bloom by delightful bee-like thoughts of Yourself, then cleansing away the dense darkness of my offences, mercifully make this unfortunate person drink the nectar emanating from Your feet."
218, Gaura-tattva,4.38,"O my merciful Lord, may the nectarean Ganges waters of Your transcendental activities flow on the surface of my desert-like tongue","kṛṣṇotkīrtana-gāna-nartana-kalā-pāthojani-bhrājitā
 sad-bhaktāvali-haṁsa-cakra-madhupa-śreṇī-vihārāspadam
 karṇānandi-kalā-dhvanir vahatu me jihvā-maru-prāṅgaṇe
 śrī-caitanya dayā-nidhe tava lasal-līlā-sudhā-svardhunī",CC Ādi 2.2,śrī-caitanya—O Lord Caitanya; dayā-nidhe—ocean of mercy; vahatu—let it flow; svardhunī—the Gangā; tava—of Your; lasat—shining; līlā-sudhā—of the nectar of the pastimes; prāṅgaṇe—in the courtyard; maru—of my desertlike; jihvā—tongue; bhrājitā—(that river) is beautified; pāthaḥ-jani—by the lotuses; utkīrtana—of the loud chanting; kṛṣṇa—of the holy names of Lord Kṛṣṇa; gāna—singing; nartana—dancing; kalā—and other fine arts; vihāra—(these lotuses are) pleasurable; āspadam—abodes; sat-bhakta—for pure devotees; āvali—(who are like) rows; haṁsa—of swans; cakra—cakravāka birds; śreṇī—(and) swarms; madhu-pa—of bumble bees; kala—(this river's) melodious; dhvaniḥ—sound; ānandi—engladdens; me—my; karṇa—ears;,"O my merciful Lord Caitanya, may the nectarean Ganges waters of Your transcendental activities flow on the surface of my desert-like tongue. Beautifying these waters are the lotus flowers of singing, dancing and loud chanting of Kṛṣṇa's holy name, which are the pleasure abodes of unalloyed devotees. These devotees are compared to swans, ducks and bees. The river's flowing produces a melodious sound that gladdens my ears."
219, Gaura-tattva,4.39,One who worships Mahāprabhu automatically worships Rādhā-Kṛṣṇa,"ārādhitaṁ nava-vanaṁ vraja-kānanaṁ te
 nārādhitaṁ nava-vanaṁ vraja eva dūre
 ārādhito dvija-suto vraja-nāgaras te
 nārādhito dvija-suto na taveha kṛṣṇaḥ","Prabodhānanda Sarasvatī,Navadvipa sataka78",ārādhitam—worshiped; nava-vanaṁ—Navadvīpa; vraja-kānanaṁ—the forest of Vraja; te—by you; na—not; ārādhitaṁ—worshiped; nava-vanaṁ—Navadvīpa; vrajaḥ—Vraja; eva—indeed; dūre—far away; ārādhitaḥ—worshiped; dvija-sutāḥ—the brāhmaṇa's son (Lord Caitanya); vraja-nāgaraḥ—the hero of Vraja (Kṛṣṇa); te—by you; na—not; ārādhitaḥ—worshiped; dvija-sutaḥ—Lord Caitanya; na—not; tava—by you; iha—here; kṛṣṇaḥ—Śrī Kṛṣṇa.,"If you worship Navadvīpa, then you also worship the forest of Vraja. If you don't worship Navadvīpa, then the forest of Vraja is far away. If you worship Lord Caitanya, then you also worship Rādhā and Kṛṣṇa in Vraja. If you don't worship Lord Caitanya, then you cannot worship Rādhā and Kṛṣṇa."
220, Gaura-tattva,4.4,Śrī Bṛhad Bhāgavatāmṛtam glorifies Śrī Caitanya Mahāprabhu,"jayati nija-padābja-prema-dānāvatīrṇo
 vividha-madhurimābdhiḥ ko 'pi kaiśora-gandhiḥ
 gata-parama-daśāntaṁ yasya caitanya-rūpād
 anubhava-padam āptaṁ prema gopīṣu nityam",Śrī Bṛhad Bhāgavtāmṛtam 1.1.1,jayati—all glorifies; nija—of His own; pada-abja—lotus feet; prema—ecstatic transcendental love; dāna—for giving charity; avatīrṇaḥ—to Him who descended; vividha—of various; madhurima—kinds of sweetness; abdhiḥ—an ocean; kaḥ api—a certain; kaiśora—of youth; gandhiḥ—who has the fragrance; gata—who has obtained; parama—of the topmost; daśā—stage; antam—the extreme; yasya—whose; caitanya—of Śrī Caitanya; rūpāt—by the form; anubhava—of transcendental experience; padam—the situation; āptam—who has obtained; prema—the ecstatic love; gopīṣu—residing in the gopīs; nityam—eternally.,"All glories to that inconceivable Lord who descended to give in charity the gift of love for His own lotus feet. He is an ocean filled with many kinds of sweetness, and He always bears the fragrance of fresh youth. In His form as Śrī Caitanya He has realised the last extreme of transcendental experience, the love residing eternally in the gopīs."
221, Gaura-tattva,4.41,"Out of greed for the sweet ecstasy of His devotees, the Lord descended to this world in the form of His own devotee","sva-dayita-nija-bhāvaṁ yo vibhāvya sva-bhāvāt
 su-madhuram avatīrṇo bhakta-rūpeṇa lobhāt
 jayati kanaka-dhāmā kṛṣṇa-caitanya-nāmā
 harir iha yati-veśaḥ śrī-śacī-sūnur eṣaḥ",Śrī Bṛhad Bhāgavtāmṛtam 1.1.3,sva—His own; dayita—of the beloved devotees; nija—their; bhāvam—ecstasy; yaḥ—who; vibhāvya—realising; sva-bhāvāt—than His own ecstasy; su-madhuram—even sweeter; avatīrṇaḥ—has descended; bhakta—of His own devotee; rūpeṇa—in the form; lobhāt—out of greed; jayati—all glories; kanaka—golden-colored; dhāmā—with an effulgence; kṛṣṇa-caitanya—Śrī Kṛṣṇa Caitanya; nāmā—with the name; hariḥ—to Lord Hari; iha—in this world; yati—of a renunciant; veśaḥ—whose dress; śrī-śacī—of Mother Śacī; sūnuḥ—the son; eṣaḥ—this.,"Realizing that the ecstasy of His beloved devotees is even sweeter than His own, out of greed the Lord descended to this world in the form of His own devotee. Dressed as a renunciant, golden in effulgence, He bears the name Śrī Kṛṣṇa Caitanya. All glories to that Lord Hari, who has appeared as the son of Mother Śacī!"
222, Gaura-tattva,4.42,Śrī Caitanya-candra Praṇāma,"ānanda-līlā-maya-vigrahāya
 hemābha-divyac-chavi-sundarāya
 tasmai mahā-prema-rasa-pradāya
 caitanya-candrāya namo namas te",Arcana dīpikā,,"I offer obeisances unto Śrī Caitanya-candra, whose form is the embodiment of blissful, transcendental pastimes, whose golden complexion is divinely beautiful, and who bestows unlimited nectar in prema-rasa."
223, Gaura-tattva,4.43,Caitanya-candra Vandanā,"jaya navadvīpa-nava-pradīpa
 prabhāvaḥ pāṣaṇḍa-gajaika-siṁhaḥ
 svanāma-saṅkhyā-japa-sūtra-dhārī
 caitanya-candro bhagavān murāriḥ",CB Mad 5.1,,"All glories to Caitanya-candra, who is none other than Bhagavān Murāri. He is the bright new lamp of Navadvīpa, who is like an unparalleled lion in subduing the atheistic elephants, and He holds a knotted string for counting His own names."
224, Gaura-tattva,4.44,"Śrī Śacīnandana as Rādhā-ramaṇa Rāma, nourishes His pure devotees","vraja-rasa-bhāvana, duṣṭamata-śātana, kapaṭi-vighātana kāma
 śuddha bhakta-pālana, śuṣka-jñāna-tāḍana, chala-bhakti-dūṣaṇa rāma",Kali-Kukkura Kadana 5,,"He is absorbed in vraja-rasa. As the transcendental Kāmadeva, He chastises the evil-minded and destroys deceit. As Rādhā-ramaṇa Rāma, He nourishes His pure devotees, drives away dry impersonalism, and removes all imitations of bhakti."
225, Gaura-tattva,4.45,,"kṛṣṇaś caitanya-gaurāṅgau gaura-candraḥ śacī-sutaḥ
 prabhu-gaurau gaura-harir nāmāni bhakti-dāni me",Ananta-Saṁhitā,"kṛṣṇa—the all-attractive person; caitanya—the embodiment of transcendental consciousness; gaurāṅga—Golden-limbed, Govinda who has accepted the golden form of Rādhā; gaura-candra—the golden moon; śacī-suta—the son of Śacī-devī; prabhu—the master; gaura—the reservoir of golden effulgence; gaura-hari—the golden lord; nāmāni—names; bhakti-dāni—bestow prema-bhakti; me—Mine.","I bestow prema-bhakti upon whoever chants My names such as Kṛsṇa, Caitanya, Gaurāṅga, Guara-candra, Śacī-suta, Prabhu, Gaura, and Gaura-hari."
226, Nityānanda-tattva,5.1,Śrī Nityānanda Prabhu praṇāma,"saṅkarṣaṇaḥ kāraṇa-toya-śāyī
 garbhoda-śāyī ca payobdhi-śāyī
 śeṣaś ca yasyāṁśa-kalāḥ sa nityā-
 nandākhya-rāmaḥ śaraṇaṁ mamāstu",Svarūpa Dāmodara's Diary,"saṅkarṣaṇaḥ—Mahā-Saṅkarṣaṇa in the spiritual sky; kāraṇa-toya-śāyī—Kāraṇodakaśāyī Viṣṇu, who lies in the Causal Ocean; garbha-uda-śāyī—Garbhodakaśāyī Viṣṇu, who lies in the Garbhodaka Ocean of the universe; ca—and; payaḥ-abdhi-śāyī—Kṣīrodakaśāyī Viṣṇu, who lies in the ocean of milk; śeṣaḥ—Śeṣa Nāga, the couch of Viṣṇu; ca—and; yasya—whose; aṁśa—plenary portions; kalāḥ—and parts of the plenary portions; saḥ—He; nityānanda-ākhya—known as Lord Nityānanda; rāmaḥ—Lord Balarāma; śaraṇam—shelter; mama—my; astu-let there be.","Saṅkarṣaṇa, Śeṣa Nāga and the Viṣṇus who lie on the Kāraṇa, Garbha, and Kṣīra Oceans, are the plenary portions and portions of the plenary portions of Śrī Nityānanda Rāma. May He give me shelter."
227, Nityānanda-tattva,5.2,,"nityānanda namas tubhyaṁ premānanda-pradāyine
 kalau kalmaṣa-nāśāya jāhnavā-pataye namaḥ",SGG p. 9,,"I offer praṇāma unto Śrī Nityānanda Prabhu who bestows the bliss of divine love, who eliminates the contamination of the age of Kali, and who is the master of Jāhnavā-devī."
228, Nityānanda-tattva,5.3,,"vande śrī-kṛṣṇa-caitanya-nityānandau sahoditau
 gauḍodaye puṣpavantau citrau śandau tamo-nudau",CC Ādi 1.2,vande—I offer respectful obeisances; śrī-kṛṣṇa-caitanya—to Lord Śrī Kṛṣṇa Caitanya; nityānandau—and to Lord Nityānanda; saha-uditau—simultaneously arisen; gauḍa-udaye—on the eastern horizon of Gauḍa; puṣpavantau—the sun and moon together; citrau—wonderful; śam-dau—bestowing benediction; tamaḥ-nudau—dissipating darkness.,"I offer my respectful obeisances unto Śrī Kṛṣṇa Caitanya and Lord Nityānanda, who are like the sun and moon. They have arisen simultaneously on the horizon of Gauḍa (Bengal) to dissipate the darkness of ignorance and thus wonderfully bestow benediction upon all."
229, Nityānanda-tattva,5.4,,"yatheṣṭaṁ re bhrātaḥ! kuru hari-hari-dhvānam aniśaṁ
 tato vaḥ saṁsārāmbudhi-taraṇa-dāyo mayi laget
 idaṁ bāhu-sphoṭair aṭati raṭayan yaḥ pratigṛhaṁ
 bhaje nityānandaṁ bhajana-taru-kandaṁ niravadhi",Śrī Nityānandāṣṭakam 5,,"I perpetually worship Śrī Nityānanda Prabhu, the root of the kṛṣṇa-bhakti tree, who wandering with outspread arms, approached the door of every home, and with upraised arms called out, ""O Brother! Continuously chant śrī-harināma to your hearts's content. If you do so, I will take the responsibility to deliver you from the ocean of material existence."""
230, Nityānanda-tattva,5.5,,"śrī-caitanya—sei kṛṣṇa, nityānanda—rāma
 nityānanda pūrṇa kare caitanyera kāma",CC Ādi 5.157,śrī-caitanya—Lord Śrī Caitanya; sei kṛṣṇa—that original Kṛṣṇa; nityānanda—Lord Nityānanda; rāma—Balarāma; nityānanda—Lord Nityānanda; pūrṇa kare—fulfills; caitanyera kāma—all the desires of Lord Śrī Caitanya Mahāprabhu.,"Lord Caitanya is the same Lord Kṛṣṇa, and Lord Nityānanda is Lord Balarāma. Lord Nityānanda fulfills all of Lord Caitanya's desires."
231, Nityānanda-tattva,5.6,Śrī Nityānanda Prabhu roamed the country for two purposes,"prema-pracāraṇa āra pāṣaṇḍa-dalana
 dui-kārye avadhūta karena bhramaṇa",CC Antya 3.149,prema-pracāraṇa—preaching the path of prema-bhakti; āra—and; pāṣaṇḍa-dalana—subduing atheistic men; dui-kārye—with two kinds of activities; avadhūta—the great devotee and mendicant; karena—does; bhramaṇa—touring.,"For two purposes—to spread the path of bhakti and to defeat and subdue the atheists—Lord Nityānanda, the most dedicated devotee of the Lord, wandered throughout the country."
232, Nityānanda-tattva,5.7,Nityānanda is intoxicated by prema and is an incarnation of mercy,"preme matta nityānanda kṛpā-avatāra
 uttama, adhama, kichu nā kare vicāra
 ye āge paḍaye, tāre karaye nistāra
 ataeva nistārilā mo-hena durācāra",CC Ādi 5.208-9,preme—in ecstatic love; matta—mad; nityānanda—Lord Nityānanda; kṛpā—merciful; avatāra—incarnation; uttama—good; adhama—bad; kichu—any; nā—not; kare—makes; vicāra—consideration; ye—whoever; āge—in front; paḍaye—falls down; tāre—unto him; karaye—does; nistāra—deliverance; ataeva—therefore; nistārilā—delivered; mo—as me; hena—such; durācāra—sinful and fallen person.,"Nityānanda is intoxicated by ecstatic love and is an incarnation of mercy, He makes no distiction between the exalted and the fallen. He delivers all those who fall down before Him. Therefore He has delivered such a sinful and fallen person as me."
233, Nityānanda-tattva,5.8,Without Nitai's mercy no one can attain Rādhā-Kṛṣṇa,"heno nitāi bine bhāi, rādhā-kṛṣṇa pāite nāi (1)
 nitāiyer karuṇā ha'be, vraje-rādhā-kṛṣṇa pābe,
 dhara nitāi-caraṇa du 'khāni (3)","Śrī Nityānanda Niṣṭhā, prarthana",,"No one can attain Rādhā-Kṛṣṇa without Lord Nityānanda. By the mercy of Nityānanda prabhu, however, one can attain the service of Rādhā-Kṛṣṇa in Vṛndāvana. Therefore, take shelter of the holy feet of Lord Nityānanda."
234, Nityānanda-tattva,5.1,Nityānanda is the Foremost Devotee,"caitanyera ādi-bhakta nityānanda-rāya
 caitanyera yaśo vaise yāñhāra jihvāya
 ahar niśa caitanyera kathā prabhu kaya
 tāñ're bhajile se caitanye bhakti haya",CB Ādi 9.217-218,,Lord Caitanya's first and foremost devotee is Nityānanda Rāya. The glories of Lord Caitanya are always on his tongue. Day and night Lord Nityānanda speaks only of Lord Caitanya. Whoever worships Him is a real devotee of Śrī Caitanya.
235, Nityānanda-tattva,5.11,Lord Nityānanda and Guru are Nondifferent,"saṁsārera pāra haiyā bhaktira sāgare
 ye ḍūbibe se bhajuka nitāi-cāndere
 āmāra prabhura prabhu śrī-gaurasundara
 e baḍa bharasā citte dhari nirantara",CB Ādi 17.152-3,,Beyond the ocean of birth and death is the bhakti ocean. Let those who would go there worship Lord Nityānanda (the original Guru). I will hold this faith within my heart forever: My master is Nityānanda; His Lord is Gaurasundara. (By the mercy of Lord Nityānanda one gets the mercy of Gaurasundara. Nityānanda is therefore the original Guru. As such the Guru is the representative of Lord Nityānanda. These two are nondifferent)
236, Nityānanda-tattva,5.12,Gaura and Nitāi are Inseparable,"dui bhāi eka-tanu samāna-prakāśa
 nityānanda nā māna, tomāra habe sarva-nāśa
 ekete viśvāsa, anye nā kara sammāna
 ""ardha-kukkuṭī-nyāya"" tomāra pramāṇa",CC Ādi 5.175-176,dui bhāi—two brothers; eka-tanu—one body; samāna-prakāśa—equal manifestation; nityānanda—Lord Nityānanda; nā māne—you do not believe; tomāra—your; habe—that will be; sarva-nāśa—downfall; ekete viśvāsa—faith in one; anye—in the other; nā—not; kara—do; sammāna—respect; ardha-kukkuṭī-nyāya—the logic of accepting half of a hen; tomāra—your; pramāṇa—evidence.,"These two brothers (Gaura and Nitāi) are like one body; they are identical manifestations. If you do not believe in Lord Nityānanda, you will fall down. If you have faith in one, but disrespect the other, your logic is like the logic of accepting half a hen."
237, Nityānanda-tattva,5.13,,"kiṁvā, doṅhā nā māniñā hao ta' pāṣaṇḍa
 eke māni' āre nā māni, ei-mata bhaṇḍa",CC Ādi 5.17,kiṁvā—otherwise; doṅhā—both of Them; nā—not; māniñā—accepting; hao—you become; ta'—certainly; pāṣaṇḍa—atheist; eke—one of Them; māni'—accepting; āre—the other; nā māni—not accepting; ei-mata—this kind of faith; bhaṇḍa—hypocrisy.,It would be better to be an atheist by slighting both brothers than a hypocrite by believing in one and slighting the other.
